"Age (in completed years)","Gender","Marital status","Place of current residence","Highest educational qualification completed before first migration","Field of study before migration (if applicable)","Did you obtain any formal educational qualification obtained abroad?","If yes, level of qualification obtained abroad","Country where qualification was obtained","Did you obtain any certification or skill development course abroad","If yes, what is the qualification","Did you pursue any further education or certification after returning","If yes, type of education","If yes, type of education/Degree program","If yes, type of education/Professional certification","If yes, type of education/Skill development course","Field/area of the education","Have you ever lived abroad for at least 6 months","If yes, Primary reason for going abroad","Country/countries of stay abroad","Total duration of stay abroad (in years)","Years of return to India","What is your age at return to India (in years)","Main reason for returning India","Did you work while abroad","Total years of work experience abroad","Type of work performed abroad","I acquired job-relevant technical skills during my stay abroad","I improved my digital and technology-related skills abroad","My communication and language skills improved due to foreign exposure","I developed adaptability and problem-solving skills while abroad","I received formal training or certification abroad useful in India","My foreign-acquired skills are transferable to the Indian labour market","Are you currently employed?","Time taken to find first job after return(months)","How did you find your first job after returning to India","How did you find your first job after returning to India/Family or friends","How did you find your first job after returning to India/Former foreign employer / contacts","How did you find your first job after returning to India/Online job portals","How did you find your first job after returning to India/Recruitment agencies","How did you find your first job after returning to India/Government employment office","How did you find your first job after returning to India/Self-employed / started own business","How did you find your first job after returning to India/Still unemployed","What is your current occupation?","Is your current job formal or informal","Did you switch to another job from the first job you entered after returning","If yes, what is your first job","If yes, Compared to your first job after return, your previous job is","Are you currently running a business","If yes, field of business","What was the main source of funds for starting this business?","What was the main source of funds for starting this business?/Personal savings earned abroad","What was the main source of funds for starting this business?/Family or Friends","What was the main source of funds for starting this business?/Bank loan/ Microfinance/ NBFC","What was the main source of funds for starting this business?/Govt schemes/ subsidy","What was the main source of funds for starting this business?/Other","How long have you been in your current Job","Does your business currently employ any paid worker?","If yes, how many paid worker you have","Are the workers employed by your business mostly","Do you have franchisee in abroad","Current monthly income","Are you aware there are government programs which helps the return migrants","Did you register with any employment exchange or government job portal after returning","Have you received any government support after returning? (Multiple responses allowed)","Have you received any government support after returning? (Multiple responses allowed) / Skill training","Have you received any government support after returning? (Multiple responses allowed) /Employment assistance","Have you received any government support after returning? (Multiple responses allowed) /Financial support","Have you received any government support after returning? (Multiple responses allowed) /None","Government programs helped me integrate into the labour market","To what extent are you able to use your foreign-acquired skills in your current job","My current job matches my skill level","My current job provides stable and secure employment","My employer values my foreign education or work experience","I see clear opportunities for career growth in my current job","Overall, I feel well integrated into the Indian labour market","What were the main difficulties you faced in finding suitable employment in India","What were the main difficulties you faced in finding suitable employment in India/Non-recognition of foreign qualifications","What were the main difficulties you faced in finding suitable employment in India/ Lack of suitable job opportunities","What were the main difficulties you faced in finding suitable employment in India/ Low wages offered","What were the main difficulties you faced in finding suitable employment in India/Skill mismatch","What were the main difficulties you faced in finding suitable employment in India/ Lack of networks","What were the main difficulties you faced in finding suitable employment in India/ Regional mismatch","What were the main difficulties you faced in finding suitable employment in India/None","Do you have any plan to go back abroad in future"
55,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",18,2020,50,"Family or personal reasons","Yes",18,"Shop assistant",2,3,4,3,2,3,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Agricultural work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,20000,"Yes","No","None",0,0,0,1,"Strongly disagree",1,1,3,1,1,3,"Lack of suitable job opportunities  Low wages offered Skill mismatch",0,1,1,1,0,0,0,"No"
53,"Male","Married","Rural","Other","ITI","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",5,2015,43,"Family or personal reasons","Yes",4,"Mechanic",4,4,3,2,3,5,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Driver","Informal","No",NA,NA,"No","Driver","Personal savings earned abroad",1,0,0,0,0,"More than 3 year",NA,NA,NA,NA,24000,"Yes","No","None",0,0,0,1,"Disagree",3,3,2,2,4,3,"Lack of suitable job opportunities  Low wages offered Skill mismatch",0,1,1,1,0,0,0,"No"
34,"Male","Married","Semi-urban","Other","Iti","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",3,2017,26,"Better job opportunities in India","Yes",3,"Construction sector",3,5,5,4,2,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","construction material","Personal savings earned abroad Family or Friends",1,1,0,0,0,"More than 3 years","Yes","3-5","Non-family hired workers","No",70000,"Yes","No","None",0,0,0,1,"Neither agree nor disagree",5,5,5,5,4,3,"Low wages offered  Lack of networks",0,0,1,0,1,0,0,"No"
62,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",28,2019,56,"End of work contracts","Yes",28,"Mechanic",4,3,5,4,2,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Building material","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","1-2","Family members","No",65000,"Yes","No","Financial support",0,0,1,0,"Disagree",5,5,5,4,4,5,"Skill mismatch  Low wages offered",0,0,1,1,0,0,0,"No"
68,"Male","Married","Semi-urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",40,2020,63,"End of work contracts","No",38,"Business",4,5,5,4,3,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Money lending institution","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","5-10","Both family and non-family hired workers","No",50000,"Yes","No","Financial support",0,0,1,0,"Disagree",1,2,4,3,4,4,"Low wages offered Skill mismatch",0,0,1,1,0,0,0,"No"
45,"Female","Married","Semi-urban","Under-graduation","Nursing","No",NA,NA,"Yes",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","kuwait",7,2021,39,"Covid 19 or other external shocks","Yes",7,"Nurse",5,4,5,5,4,5,"Yes",6,"Government employment office",0,0,0,0,1,0,0,"Nurse","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 years",NA,NA,NA,NA,40000,"Yes","Yes","Employment assistance",0,1,0,0,"Agree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"Not sure"
65,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",14,2017,57,"End of work contracts","Yes",14,"Banking and Finance",5,5,5,5,4,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Akshaya","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","3-5","Non-family hired workers","No",50000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",3,3,3,3,3,3,"Low wages offered  Lack of suitable job opportunities Skill mismatch",0,1,1,1,0,0,0,"No"
62,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",20,2020,57,"End of work contracts","Yes",20,"Manager",5,4,5,5,5,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Super market","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","5-10","Non-family hired workers","No",60000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",4,4,4,3,4,3,"Low wages offered Skill mismatch",0,0,1,1,0,0,0,"No"
69,"Male","Married","Semi-urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",30,2013,56,"End of work contracts","Yes",34,"Shop assistant",3,3,5,2,1,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Supermarket","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","5-10","Non-family hired workers","No",80000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",5,5,5,5,5,5,"Skill mismatch  Low wages offered",0,0,1,1,0,0,0,"No"
66,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",42,2023,63,"Family or personal reasons","Yes",37,"Driver",3,4,5,3,3,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Driving institute","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","3-5","Non-family hired workers","No",80000,"No","No","None",0,0,0,1,"Strongly disagree",4,4,4,4,5,4,"Low wages offered  Regional mismatch",0,0,1,0,0,1,0,"No"
67,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",29,2022,63,"End of work contracts","Yes",29,"Mechanic",4,4,5,3,2,5,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Supermarket","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","1-2","Both family and non-family hired workers","No",70000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",2,3,4,4,4,4,"Skill mismatch  Low wages offered  Regional mismatch",0,0,1,1,0,1,0,"No"
65,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",35,2020,60,"End of work contracts","Yes",35,"Banking and Finance",5,5,5,4,5,5,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Textile business","Personal savings earned abroad Bank loan/ Microfinance/ NBFC",1,0,1,0,0,"More than 3 years","Yes","5-10","Both family and non-family hired workers","No",90000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",4,4,4,4,4,4,"Non-recognition of foreign qualifications   Skill mismatch",1,0,0,1,0,0,0,"No"
66,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",35,2024,65,"End of work contracts","Yes",35,"Driver",3,3,5,3,4,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Stationary","Personal savings earned abroad",1,0,0,0,0,"Less than 6 months","Yes","1-2","Non-family hired workers","No",50000,"Yes","Yes","Employment assistance",0,1,0,0,"Strongly disagree",2,2,2,2,2,2,"Skill mismatch",0,0,0,1,0,0,0,"No"
68,"Male","Married","Urban","Other","ITI","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",33,2021,64,"End of work contracts","Yes",33,"Technician",3,4,5,4,2,5,"No",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Technician","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"No","Yes","Employment assistance",0,1,0,0,"Strongly disagree",2,3,3,3,3,3,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
51,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",16,2021,50,"End of work contracts","Yes",16,"Carpenter",4,2,5,3,1,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Carpenter","Informal","No",NA,NA,"Yes","Carpentery work shop","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","1-2","Non-family hired workers","No",30000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
68,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",25,2020,50,"Family or personal reasons","Yes",28,"Driver",4,3,5,3,3,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Oil and flour mill","Personal savings earned abroad",1,0,0,0,0,"Less than 6 months","Yes","1-2","Both family and non-family hired workers","No",45000,"Yes","Yes","Skill training",1,0,0,0,"Strongly disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
59,"Male","Married","Urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",12,2020,52,"End of work contracts","Yes",12,"Manager",4,4,5,4,3,5,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Manager","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,20000,"Yes","No","None",0,0,0,1,"Disagree",5,5,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
66,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",32,2020,50,"End of work contracts","Yes",32,"Manager",3,5,5,4,2,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Market","Bank loan/ Microfinance/ NBFC",0,0,1,0,0,"1-3 years","Yes","1-2","Non-family hired workers","No",80000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
66,"Male","Married","Urban","Other","ItI","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",23,2020,61,"End of work contracts","Yes",18,"Mechanic",4,4,5,3,1,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Agriculture farm","Family or Friends",0,1,0,0,0,"More than 3 years","Yes","1-2","Family members","No",45000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
64,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",17,2020,50,"Covid 19 or other external shocks","Yes",16,"Manager",3,3,5,3,2,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"Yes","Agriculture","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","No",NA,NA,"No",30000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
68,"Male","Married","Urban","Under-graduation",NA,"No",NA,"Sap","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",32,2022,50,"End of work contracts","Yes",33,"Banking and Finance",5,5,5,4,4,5,"Yes",6,"Recruitment agencies",0,0,0,1,0,0,0,"Insurance agent","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","Yes","Employment assistance",0,1,0,0,"Disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
70,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",36,2020,58,"Covid 19 or other external shocks","Yes",36,"Manager",5,5,5,4,5,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Shop","Personal savings earned abroad",NA,NA,NA,NA,NA,"1-3 years",NA,NA,NA,NA,45000,"Yes","Yes","None",0,0,0,1,"Agree",5,5,5,4,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
65,"Male","Married","Urban","Under-graduation",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",35,2020,55,"End of work contracts","Yes",28,"Manager",5,5,5,4,5,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Agricultural work","Informal","No",NA,NA,"Yes","Agriculture","Family or Friends",0,1,0,0,0,"More than 3 years","Yes","5-10","Non-family hired workers","No",28000,"No","Yes","Employment assistance",0,1,0,0,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
55,"Male","Married","Semi-urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",9,2018,50,"Family or personal reasons","Yes",9,"Corporate",2,3,5,2,1,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Informal","No",NA,NA,"Yes","Bakery","Family or Friends",0,1,0,0,0,"More than 3 years","Yes","1-2","Non-family hired workers","No",30000,"Yes","Yes","Employment assistance",0,1,0,0,"Neither agree nor disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
48,"Male","Married","Semi-urban","Other","Iti","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",9,2021,40,"End of work contracts","Yes",9,"Technician",4,5,5,3,2,5,"Yes",5,"Family or friends Self-employed / started own business",1,0,0,0,0,1,0,"Technician","Informal","No",NA,NA,"Yes","Electrician","Personal savings earned abroad",1,0,0,0,0,"More than 3 years","Yes","1-2","Non-family hired workers","No",26000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
63,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",40,2023,60,"Other","Yes",35,"Business",4,5,5,4,3,5,"No",NA,"Self-employed / started own business",0,0,0,0,0,0,0,"Business","Formal","No",NA,NA,"Yes","Mall","Personal savings earned abroad Family or Friends Bank loan/ Microfinance/ NBFC",1,1,1,0,0,"More than 3 years","Yes","5-10","Both family and non-family hired workers","Yes",80000,"Yes","Yes","Financial support",0,1,1,0,"Disagree",5,5,5,5,5,5,"Lack of suitable job opportunities",0,1,0,0,0,0,0,"No"
